iter	RMSE
120	0.2051541176
121	0.205089171
122	0.2050286504
123	0.2049715391
124	0.2049099895
125	0.2048495478
126	0.2047897656
127	0.2047275941
128	0.2046673723
129	0.2046075805
130	0.2045549241
131	0.2045024096
132	0.2044498339
133	0.2044012505
134	0.2043406859
135	0.2042912152
136	0.2042405745
137	0.2041905081
138	0.204143761
139	0.2041014653
140	0.2040593793
141	0.2040117879
142	0.2039634084
143	0.2039203165
144	0.2038753635
145	0.2038352297
146	0.2037962698
147	0.2037557428
148	0.2037136465
149	0.2036760135
150	0.2036476863
151	0.2036096625
152	0.2035713194
153	0.2035358961
154	0.2035078488
155	0.2034722218
156	0.2034356508
157	0.203400746
158	0.2033683678
159	0.2033331201
160	0.2033033793
161	0.2032767509
162	0.2032482243
163	0.2032257487
164	0.2031932249
165	0.2031641768
166	0.2031361221
167	0.2031039951
168	0.2030758401
169	0.2030467102
170	0.2030217972
171	0.2029933748
172	0.2029664923
173	0.2029381746
174	0.202912326
175	0.2028938355
176	0.2028677915
177	0.2028433965
178	0.2028194224
179	0.202794848
180	0.2027708798
181	0.2027449896
182	0.2027247473
183	0.2027038878
184	0.2026824829
185	0.202658024
186	0.2026351147
187	0.202611462
188	0.2025904674
189	0.2025679114
190	0.2025489747
191	0.2025296299
192	0.2025106882
193	0.2024913314
194	0.2024737595
195	0.2024522568
196	0.2024323712
197	0.2024175486
198	0.2023967211
199	0.2023802405
200	0.2023648736
201	0.2023468078
202	0.2023311131
203	0.2023121732
204	0.2022958363
205	0.2022791197
206	0.2022636746
207	0.2022456024
208	0.2022302297
209	0.2022176442
210	0.2022035368
211	0.2021914293
212	0.2021745549
213	0.2021622577
214	0.2021493504
215	0.2021323384
216	0.2021183708
217	0.2021042499
218	0.2020897357
219	0.2020757511
220	0.2020592181
221	0.2020443639
222	0.2020297047
223	0.2020172414
224	0.2020028397
225	0.2019903921
226	0.2019780804
227	0.2019626673
228	0.2019471735
229	0.2019352063
230	0.2019202555
231	0.2019065888
232	0.2018955919
233	0.2018834108
234	0.2018676734
235	0.2018548072
236	0.2018437887
237	0.2018325412
238	0.2018202224
239	0.2018082863
240	0.2017966236
241	0.2017856821
242	0.2017753677
243	0.2017663033
244	0.201756335
245	0.2017492431
246	0.2017372077
247	0.2017282529
248	0.2017184925
249	0.2017087266
250	0.2016996535
251	0.201687462
252	0.201676974
253	0.2016676415
254	0.2016584654
255	0.2016520693
256	0.2016404173
257	0.2016316729
258	0.2016228612
259	0.2016136654
260	0.201602805
261	0.2015924608
262	0.2015835323
263	0.2015769987
264	0.2015685286
265	0.2015629155
266	0.201552945
267	0.2015431052
268	0.2015341928
269	0.201525483
270	0.20151715
271	0.201508794
272	0.2014999578
273	0.2014888181
274	0.2014808272
275	0.2014729369
276	0.2014649598
277	0.20145502
278	0.2014463296
279	0.2014346424
280	0.2014259381
281	0.2014185047
282	0.2014120254
283	0.2014042866
284	0.2013947186
285	0.2013837886
286	0.2013767076
287	0.2013704922
288	0.2013603993
289	0.2013536651
290	0.2013466132
291	0.2013400463
292	0.2013331922
293	0.2013255531
294	0.201318491
295	0.2013111793
296	0.2013021838
297	0.2012938655
298	0.2012870957
299	0.2012800828
300	0.2012713898
301	0.2012632538
302	0.2012559086
303	0.2012506279
304	0.2012446127
305	0.2012362563
306	0.2012296922
307	0.2012236736
308	0.2012171207
309	0.2012119299
310	0.2012051777
311	0.2011972248
312	0.2011908657
313	0.2011859852
314	0.2011802469
315	0.2011741419
316	0.20116731
317	0.201159633
318	0.2011530919
319	0.2011472474
320	0.2011414121
321	0.2011341327
322	0.201126773
323	0.2011219857
324	0.2011147065
325	0.201107032
326	0.2011012447
327	0.2010957557
328	0.2010881984
329	0.2010784497
330	0.2010738403
331	0.2010690012
332	0.2010632502
333	0.2010570537
334	0.2010490934
335	0.2010428389
336	0.2010380427
337	0.2010322533
338	0.2010259682
339	0.2010200215
340	0.201011195
341	0.2010047495
342	0.2009964147
343	0.2009893472
344	0.2009827491
345	0.2009799149
346	0.2009744037
347	0.2009664572
348	0.2009613898
349	0.200954856
350	0.2009477163
351	0.2009431064
352	0.2009378665
353	0.2009306295
354	0.2009240082
355	0.2009185586
356	0.2009148129
357	0.2009089059
358	0.2009032771
359	0.2008956946
360	0.2008883141
361	0.2008814142
362	0.2008775702
363	0.2008724791
364	0.2008668317
365	0.2008614119
366	0.2008538054
367	0.2008473705
368	0.2008413939
369	0.2008380128
370	0.2008329671
371	0.2008257936
372	0.200818509
373	0.2008147153
374	0.2008095104
375	0.2008028464
376	0.2007985773
377	0.2007911717
378	0.2007876298
379	0.2007817352
380	0.2007777527
381	0.2007725608
382	0.2007683034
383	0.200765222
384	0.2007590742
385	0.2007537795
386	0.2007455225
387	0.2007407332
388	0.200735236
389	0.20073186
390	0.2007272121
391	0.2007232146
392	0.2007155828
393	0.2007111997
394	0.2007055679
395	0.2007016577
396	0.2006975499
397	0.2006931428
398	0.2006901824
399	0.2006841462
400	0.2006778695
401	0.2006720946
402	0.2006686832
403	0.200664778
404	0.2006601857
405	0.2006556639
406	0.2006505574
407	0.2006433359
408	0.2006400473
409	0.2006324977
410	0.200626601
411	0.2006226748
412	0.2006150428
413	0.200610861
414	0.2006052112
415	0.2006002171
416	0.2005945832
417	0.2005911498
418	0.2005871866
419	0.2005784004
420	0.2005716576
421	0.2005674196
422	0.2005618552
423	0.2005575345
424	0.2005534511
425	0.2005489279
426	0.2005439818
427	0.2005388861
428	0.2005336339
429	0.2005290056
430	0.2005225472
431	0.2005175483
432	0.2005124505
433	0.2005055846
434	0.2004981078
435	0.200494241
436	0.2004892198
437	0.2004840822
438	0.2004808897
439	0.2004763738
440	0.2004732419
441	0.2004686753
442	0.2004663732
443	0.2004602757
444	0.2004570589
445	0.2004522965
446	0.2004473854
447	0.2004449314
448	0.2004381602
449	0.2004316034
450	0.2004253159
451	0.2004202805
452	0.200417112
453	0.2004134659
454	0.2004090046
455	0.2004039543
456	0.2003972333
457	0.2003943421
458	0.2003889448
459	0.2003863311
460	0.2003807127
461	0.2003781595
462	0.2003745997
463	0.200371533
464	0.2003688461
465	0.2003642182
466	0.2003575932
467	0.2003542488
468	0.200350201
469	0.2003440646
470	0.2003395978
471	0.200335606
472	0.2003303606
473	0.2003241404
474	0.2003185039
475	0.2003134636
476	0.2003085074
477	0.2003034783
478	0.2002975688
479	0.2002924123
480	0.2002864215
481	0.2002805444
482	0.2002769971
483	0.2002747202
484	0.2002699586
485	0.2002636819
486	0.2002608899
487	0.2002576854
488	0.2002534747
489	0.2002495633
490	0.2002467031
491	0.2002418475
492	0.2002368946
493	0.2002308323
494	0.2002271842
495	0.2002235032
496	0.2002173244
497	0.2002119604
498	0.2002086901
499	0.2002034587
500	0.2001999401
501	0.2001955873
502	0.2001912286
503	0.20018752
504	0.2001837293
505	0.2001780803
506	0.2001738329
507	0.2001695072
508	0.2001666911
509	0.2001612172
510	0.2001563097
511	0.2001538407
512	0.2001510771
513	0.2001452632
514	0.2001413592
515	0.2001364404
516	0.2001340834
517	0.2001312984
518	0.2001249721
519	0.2001202362
520	0.2001165784
521	0.2001135778
522	0.2001109755
523	0.2001047909
524	0.2001007989
525	0.2000979369
526	0.2000951006
527	0.2000903067
528	0.2000854841
529	0.2000814077
530	0.2000772429
531	0.2000734666
532	0.2000704959
533	0.200065235
534	0.2000604314
535	0.2000558584
536	0.2000526112
537	0.2000476363
538	0.2000406051
539	0.2000379516
540	0.2000346004
541	0.200028592
542	0.200021168
543	0.2000186109
544	0.2000161967
545	0.2000116341
546	0.2000090235
547	0.2000055059
548	0.1999999071
549	0.199994902
550	0.1999922668
551	0.1999865624
552	0.199982611
553	0.1999770971
554	0.1999731917
555	0.1999684745
556	0.1999651465
557	0.1999603426
558	0.199957198
559	0.1999536557
560	0.1999517495
561	0.1999473247
562	0.199942458
563	0.1999381854
564	0.1999347534
565	0.1999301696
566	0.1999262213
567	0.1999219269
568	0.199919557
569	0.1999152934
570	0.1999135593
571	0.199910162
572	0.1999047649
573	0.199900858
574	0.199897868
575	0.1998932675
576	0.1998896234
577	0.1998858639
578	0.1998808055
579	0.1998783869
580	0.199876329
581	0.199872318
